Class,Message
ham,I have to take exam with march 3
ham,Anything lor but toa payoh got place 2 walk meh...
ham,Dont show yourself. How far. Put new pictures up on facebook.
ham,I had askd u a question some hours before. Its answer
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call"
ham,10 min later k...
ham,"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside.."""
spam,Limited time offer! Get 31% off on all products. Use code SPAM69 at checkout.
ham,Wat r u doing?
ham,Gud mrng dear hav a nice day
ham,Hope you are having a great day.
ham,I'm in class. Did you get my text.
ham,Is fujitsu s series lifebook good?
ham,Eh u send wrongly lar...
ham,K...k:)why cant you come here and search job:)
ham,Thanx...
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
ham,"Trust me. Even if isn't there, its there."
spam,Your account has been compromised! Reset your password here: bit.ly/6698
spam,Your account has been compromised! Reset your password here: bit.ly/6264
ham,No my mum went 2 dentist.
ham,Same. Wana plan a trip sometme then
ham,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go
ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
spam,Your account has been compromised! Reset your password here: bit.ly/3974
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/4918
ham,Where r we meeting?
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/2578
spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
spam,important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
ham,"Sorry, I'll call later"
spam,83039 62735=£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/2225
ham,How much is blackberry bold2 in nigeria.
ham,In work now. Going have in few min.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam,New job alert! Earn $3035/day from home. No experience needed. Apply now!
ham,Yeah I don't see why not
ham,Also remember to get dobby's bowl from your car
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/2040
ham,Morning only i can ok.
ham,Love you aathi..love u lot..
ham,Nah im goin 2 the wrks with j wot bout u?
ham,Huh so late... Fr dinner?
spam,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123
ham,Then dun wear jeans lor...
ham,Dont talk to him ever ok its my word.
ham,No. She's currently in scotland for that.
ham,Alright. I'm out--have a good night!
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
spam,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@£1.50rcvd
ham,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
spam,Claim your exclusive reward by clicking here: bit.ly/1321. Act fast!
ham,Where @
ham,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that"
spam,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/7624
ham,Ugh. Gotta drive back to sd from la. My butt is sore.
spam,Your account has been compromised! Reset your password here: bit.ly/4542
ham,I dun believe u. I thk u told him.
ham,K...k:)why cant you come here and search job:)
spam,Congratulations! You won $5000. Click here to claim your prize: bit.ly/3303
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/8971
ham,India have to take lead:)
spam,You have been selected for a cash prize of $3593. Respond with 'YES' to claim.
spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
spam,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed
spam,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
ham,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me"
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
spam,Limited time offer! Get 37% off on all products. Use code SPAM40 at checkout.
ham,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.
ham,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL
ham,Sian... Aft meeting supervisor got work 2 do liao... U working now?
ham,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?"
spam,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?
ham,it's really getting me down just hanging around.
ham,Give me a sec to think think about it
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
ham,"Aight will do, thanks again for comin out"
ham,Yo theres no class tmrw right?
spam,You have been selected for a cash prize of $3273. Respond with 'YES' to claim.
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/5846
ham,Oh ho. Is this the first time u use these type of words
ham,"What will we do in the shower, baby?"
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/4525
ham,Even my brother is not like to speak with me. They treat me like aids patent.
spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114"
spam,88066 FROM 88066 LOST 3POUND HELP
ham,That means get the door
spam,Your account has been compromised! Reset your password here: bit.ly/5882
ham,NO GIFTS!! You trying to get me to throw myself off a cliff or something?
spam,Claim your exclusive reward by clicking here: bit.ly/6240. Act fast!
ham,Got it. Seventeen pounds for seven hundred ml – hope ok.
ham,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy"
spam,Your account has been compromised! Reset your password here: bit.ly/9519
ham,Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly.
spam,Claim your exclusive reward by clicking here: bit.ly/3611. Act fast!
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
ham,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/1475
ham,Host-based IDPS for linux systems.
spam,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
spam,You have been selected for a cash prize of $4868. Respond with 'YES' to claim.
ham,I don't think he has spatula hands!
ham,"It could work, we'll reach a consensus at the next meeting"
spam,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX
ham,Meeting u is my work. . . Tel me when shall i do my work tomorrow
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,"Better than bb. If he wont use it, his wife will or them doctor"
ham,No did you check? I got his detailed message now
spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876"
ham,"I am real, baby! I want to bring out your inner tigress..."
ham,Both :) i shoot big loads so get ready!
ham,"I dont knw pa, i just drink milk.."
spam,New job alert! Earn $1945/day from home. No experience needed. Apply now!
ham,Sindu got job in birla soft ..
ham,Those ducking chinchillas
ham,No no:)this is kallis home ground.amla home town is durban:)
ham,Mine here like all fr china then so noisy.
spam,Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls £1/minMobsmoreLKPOBOX177HP51FL
spam,Congratulations! You won $5000. Click here to claim your prize: bit.ly/2563
spam,You have been selected for a cash prize of $4756. Respond with 'YES' to claim.
spam,Congratulations! You won $5000. Click here to claim your prize: bit.ly/9771
ham,So can collect ur laptop?
ham,Otherwise had part time job na-tuition..
ham,Babe ? I lost you ... :-(
spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18
ham,How much are we getting?
spam,You have been selected for a cash prize of $2357. Respond with 'YES' to claim.
ham,Why you Dint come with us.
ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/6910
spam,New job alert! Earn $2979/day from home. No experience needed. Apply now!
ham,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now
spam,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!
ham,"Awesome, lemme know whenever you're around"
ham,"Sorry, I'll call later"
ham,Ok pa. Nothing problem:-)
ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
ham,Audrie lousy autocorrect
ham,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough …"
ham,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: ""GOODMORNING &amp; HAVE A NICE DAY"" :)"
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/2513
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/4839
ham,"Sorry, I can't help you on this."
spam,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088"
ham,Can you open the door?
ham,"Call me da, i am waiting for your call."
ham,I am great princess! What are you thinking about me? :)
ham,U should have made an appointment
ham,Actually getting ready to leave the house.
ham,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
ham,Ok...
ham,Thank you. I like you as well...
ham,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;
ham,At 7 we will go ok na.
spam,New job alert! Earn $2184/day from home. No experience needed. Apply now!
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
ham,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8"
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99
spam,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw
ham,I love to wine and dine my lady!
ham,Got it..mail panren paru..
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/2320
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
spam,New job alert! Earn $3303/day from home. No experience needed. Apply now!
spam,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow
ham,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
ham,I need to come home and give you some good lovin...
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/5157
ham,Oh ok i didnt know what you meant. Yep i am baby jontin
ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/7848
ham,"Sorry, I'll call later"
spam,Your account has been compromised! Reset your password here: bit.ly/4977
ham,"Aight, I'll ask a few of my roommates"
spam,You have been selected for a cash prize of $3275. Respond with 'YES' to claim.
ham,Eat jap done oso aft ur lect wat... Ü got lect at 12 rite...
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/8667
spam,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
ham,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?
ham,Mm i had my food da from out
ham,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.
spam,You have been selected for a cash prize of $1089. Respond with 'YES' to claim.
spam,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04
ham,Oh all have to come ah?
ham,Too late. I said i have the website. I didn't i have or dont have the slippers
ham,Wish i were with you now!
ham,Tension ah?what machi?any problem?
spam,Limited time offer! Get 44% off on all products. Use code SPAM89 at checkout.
spam,Congratulations! You won $5000. Click here to claim your prize: bit.ly/5736
ham,Our Prashanthettan's mother passed away last night. pray for her and family.
spam,You have been selected for a cash prize of $1361. Respond with 'YES' to claim.
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/1943
ham,You can jot down things you want to remember later.
ham,He is there. You call and meet him
ham,Please dont say like that. Hi hi hi
ham,Lolnice. I went from a fish to ..water.?
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
spam,"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16"
ham,I love to give massages. I use lots of baby oil... What is your fave position?
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
ham,Did you try making another butt.
spam,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
ham,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
ham,"Pls send me a comprehensive mail about who i'm paying, when and how much."
spam,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077
ham,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
ham,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!
spam,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!
ham,Shant disturb u anymore... Jia you...
ham,Dude ive been seeing a lotta corvettes lately
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/5555
spam,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL"
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/5764
ham,"Alright omw, gotta change my order to a half8th"
ham,WHO ARE YOU SEEING?
ham,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.
ham,"""Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic"""
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
spam,Promotion Number: 8714714 - UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub
spam,Limited time offer! Get 65% off on all products. Use code SPAM50 at checkout.
ham,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)"
ham,That's my honeymoon outfit. :)
ham,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...
ham,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;
ham,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ..."
spam,"449050000301 You have won a £2,000 price! To claim, call 09050000301."
spam,Claim your exclusive reward by clicking here: bit.ly/2229. Act fast!
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/6004
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/2777
ham,Wish u many many returns of the day.. Happy birthday vikky..
spam,URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM
ham,Yup
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
ham,"Sorry, I'll call later ok bye"
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/4148
ham,Lmao ok I wont be needing u to do my hair anymore.
spam,FREE entry into our £250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/2056
spam,Claim your exclusive reward by clicking here: bit.ly/2152. Act fast!
ham,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
ham,Lol great now im getting hungry.
ham,Cancel cheyyamo?and get some money back?
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/6429
spam,"complimentary 4 STAR Ibiza Holiday or £10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+"
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/7800
spam,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones
spam,Congratulations! You won $5000. Click here to claim your prize: bit.ly/1675
ham,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?"
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/3834
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/2592
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
ham,Oh sorry please its over
ham,"Sorry, I'll call later"
spam,thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???
spam,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
spam,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
spam,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only
ham,Lol alright i was thinkin that too haha
ham,So ü pay first lar... Then when is da stock comin...
ham,"Sorry that took so long, omw now"
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/6806
ham,Sounds like you have many talents! would you like to go on a dinner date next week?
ham,Kinda. First one gets in at twelve! Aah. Speak tomo
spam,Congratulations! You won $5000. Click here to claim your prize: bit.ly/3561
ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
ham,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke
ham,Also are you bringing galileo or dobby
ham,Men like shorter ladies. Gaze up into his eyes.
spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
ham,Realy sorry-i don't recognise this number and am now confused :) who r u please?!
spam,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468"
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/4600
ham,Lol you won't feel bad when I use her money to take you out to a steak dinner =D
ham,What is important is that you prevent dehydration by giving her enough fluids
ham,Finally the match heading towards draw as your prediction.
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117
ham,Good Morning plz call me sir
ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
spam,Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net cost£3.75max
spam,You have been selected for a cash prize of $3316. Respond with 'YES' to claim.
ham,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah..."
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
spam,Limited time offer! Get 49% off on all products. Use code SPAM79 at checkout.
spam,New job alert! Earn $3940/day from home. No experience needed. Apply now!
ham,What class of  &lt;#&gt;  reunion?
ham,Ok...
ham,Thx. All will be well in a few months
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/5766
spam,URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
spam,Your account has been compromised! Reset your password here: bit.ly/1905
ham,You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|
spam,"Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate"
spam,Congratulations! You won $5000. Click here to claim your prize: bit.ly/3172
ham,&lt;#&gt;  am I think? Should say on syllabus
ham,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas"
spam,RCT' THNQ Adrian for U text. Rgds Vatian
spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
spam,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
ham,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/1744
ham,"I don't think I can get away for a trek that long with family in town, sorry"
spam,Congratulations! You won $5000. Click here to claim your prize: bit.ly/5108
spam,Congratulations! You won $5000. Click here to claim your prize: bit.ly/9277
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/7293
ham,I will come tomorrow di
spam,U’ve Bin Awarded £50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min £50-£500. OptOut 08718727870
spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870."
spam,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/7188
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
spam,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
ham,How abt making some of the pics bigger?
ham,Its a site to simulate the test. It just gives you very tough questions to test your readiness.
ham,Si si. I think ill go make those oreo truffles.
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/5084
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/5152
spam,"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16"
spam,"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8"
ham,"No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing."
spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04
spam,"For ur chance to win £250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk."
ham,Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself.
ham,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?"
ham,U don't remember that old commercial?
ham,"I wake up long ago already... Dunno, what other thing?"
spam,New job alert! Earn $1629/day from home. No experience needed. Apply now!
spam,Call from 08702490080 - tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
ham,Great comedy..cant stop laughing da:)
ham,Would really appreciate if you call me. Just need someone to talk to.
ham,"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?"
ham,Give one miss from that number please
ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
ham,I'm home.
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
ham,Hey company elama po mudyadhu.
spam,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p
spam,New job alert! Earn $437/day from home. No experience needed. Apply now!
ham,"Yes, i'm small kid.. And boost is the secret of my energy.."
ham,"No, I decided that only people who care about stuff vote and caring about stuff is for losers"
spam,Claim your exclusive reward by clicking here: bit.ly/4372. Act fast!
ham,Do well :)all will for little time. Thing of good times ahead:
ham,He also knows about lunch menu only da. . I know
